ID;RELEASE;URL;DOWNLOAD LINK;COMPONENT;DESCRIPTION;MD5;S3 PATH;LAST UPDATED;SAP RELEASE DATE;COMMENT
S4HANA23_KERNEL_SAPHOSTAGENT;S4HANA23;https://me.sap.com/softwarecenter/object/0020000000867792023;https://softwaredownloads.sap.com/file/0020000000867792023;KERNEL_SAPHOSTAGENT;SAPHOSTAGENT61_61-80004822.SAR - SAP HOST AGENT 7.22 SP61;280c13ca76d3b2fb1aba5cccdff9b9e3ae7988f6ca5f2553563fd2360dc8f688;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/KERNEL;24.08.23;19.07.23;SAPHOSTAGENT LATEST
S4HANA21_FOUNDATIONS_SAPCAR;S4HANA21_FND;https://me.sap.com/softwarecenter/object/0020000000098642022;https://softwaredownloads.sap.com/file/0020000000098642022;SAPCAR;SAPCAR_1115-70006178.EXE;765412436934362cc5497e3d659fbb78be91093a091c11ec4fbe84dfb415a0e5;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/SAPCAR;24.08.23;27.01.22;SAPCAR LATEST
S4HANA21_FOUNDATIONS_SWPM;S4HANA21_FND;https://me.sap.com/softwarecenter/object/0020000001004962025;https://softwaredownloads.sap.com/file/0020000001004962025;SWPM;SWPM20SP21_4-80003424.SAR;44364d59f9a0b882459688d40839505528171b03ce8203561e285c5fff4d39a9;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/SWPM;18.09.25;18.09.25;SWPM 2 LATEST
S4HANA21_FOUNDATIONS_RDB;S4HANA21_FND;https://me.sap.com/softwarecenter/object/0030000000292872025;https://softwaredownloads.sap.com/file/0030000000292872025;RDB;51058712.ZIP - SAP HANA Platform Edt. 2.0 SPS07 rev79.02 Linux x86_64;318b9a796ad4226369b7990bf898d7b1f0cebe7c49f88a542fa9e3e60e5558ca;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/RDB;20.03.25;14.03.25;HANA LATEST
S4HANA21_FOUNDATIONS_RDBCLIENT;S4HANA21_FND;https://me.sap.com/softwarecenter/object/0020000000516362023;https://softwaredownloads.sap.com/file/0020000000516362023;RDBCLIENT;IMDB_CLIENT20_016_26-80002082.SAR - SAP HANA CLient 2.16;d238143b22ab5976221ab7d89b097690dd7af9fc75445c1f78eeb7196c569ca4;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/RDBCLIENT;24.08.23;28.04.23;HANA CLIENT LATEST
S4HANA21_FOUNDATIONS_EXPORT_PART1;S4HANA21_FND;https://me.sap.com/softwarecenter/object/0030000001438792021;https://softwaredownloads.sap.com/file/0030000001438792021;EXPORT_PART1;S4FND106_INST_EXPORT_1.zip;aadb3c749e07757af51bd2644b1bf9732d00e07b08f25ab6ebe8e51863a0c379;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;24.08.23;;
S4HANA21_FOUNDATIONS_EXPORT_PART2;S4HANA21_FND;https://me.sap.com/softwarecenter/object/0030000001438802021;https://softwaredownloads.sap.com/file/0030000001438802021;EXPORT_PART2;S4FND106_INST_EXPORT_2.zip;9e3c847b54f7a9d4b2caa2b45b2400406bbad76e52867310231818d0371a3580;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;24.08.23;;
S4HANA21_FOUNDATIONS_EXPORT_PART3;S4HANA21_FND;https://me.sap.com/softwarecenter/object/0030000001438812021;https://softwaredownloads.sap.com/file/0030000001438812021;EXPORT_PART3;S4FND106_INST_EXPORT_3.zip;c7f12dc6bbf694e41eccc1ec57a6ff3887f671a3786736dafb6197d29ecbf406;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;24.08.23;;
S4HANA21_FOUNDATIONS_EXPORT_PART4;S4HANA21_FND;https://me.sap.com/softwarecenter/object/0030000001438822021;https://softwaredownloads.sap.com/file/0030000001438822021;EXPORT_PART4;S4FND106_INST_EXPORT_4.zip;541e4d37588d96d3b0eb2b50fb041c48e235cdd9c9749631a69c40ebcbd2081c;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;24.08.23;;
S4HANA21_FOUNDATIONS_EXPORT_PART5;S4HANA21_FND;https://me.sap.com/softwarecenter/object/0030000001438832021;https://softwaredownloads.sap.com/file/0030000001438832021;EXPORT_PART5;S4FND106_INST_EXPORT_5.zip;a2fa4100ee2cedee00065e47f7fd679bb5b409ec0751aa75be2f57d4d4b51662;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;24.08.23;;
